date,search
2023-09-10,42
2023-09-17,40
2023-09-24,70
2023-10-01,46
2023-10-08,61
2023-10-15,63
2023-10-22,64
2023-10-29,60
2023-11-05,60
2023-11-12,77
2023-11-19,100
2023-11-26,52
2023-12-03,49
2023-12-10,43
2023-12-17,39
2023-12-24,41
2023-12-31,41
2024-01-07,46
2024-01-14,49
2024-01-21,43
2024-01-28,40
2024-02-04,43
2024-02-11,40
2024-02-18,42
2024-02-25,44
2024-03-03,42
2024-03-10,38
2024-03-17,39
2024-03-24,36
2024-03-31,36
2024-04-07,36
2024-04-14,38
2024-04-21,32
2024-04-28,44
2024-05-05,46
2024-05-12,54
2024-05-19,41
2024-05-26,36
2024-06-02,36
2024-06-09,40
2024-06-16,39
2024-06-23,40
2024-06-30,46
2024-07-07,40
2024-07-14,46
2024-07-21,40
2024-07-28,39
2024-08-04,39
2024-08-11,42
2024-08-18,37
2024-08-25,41
2024-09-01,40
2024-09-08,45
