카테고리: 모든 카테고리

주,overwatch: (대한민국),roll: (대한민국)
2023-09-10,21,78
2023-09-17,23,84
2023-09-24,27,87
2023-10-01,28,80
2023-10-08,26,87
2023-10-15,25,83
2023-10-22,24,81
2023-10-29,32,86
2023-11-05,30,87
2023-11-12,23,86
2023-11-19,24,80
2023-11-26,24,79
2023-12-03,25,87
2023-12-10,23,88
2023-12-17,21,90
2023-12-24,23,84
2023-12-31,22,93
2024-01-07,22,88
2024-01-14,19,83
2024-01-21,19,89
2024-01-28,17,81
2024-02-04,20,87
2024-02-11,23,92
2024-02-18,22,93
2024-02-25,23,100
2024-03-03,20,94
2024-03-10,20,81
2024-03-17,23,88
2024-03-24,19,91
2024-03-31,19,90
2024-04-07,19,89
2024-04-14,20,88
2024-04-21,21,90
2024-04-28,19,88
2024-05-05,16,89
2024-05-12,23,87
2024-05-19,20,88
2024-05-26,20,85
2024-06-02,22,87
2024-06-09,18,82
2024-06-16,21,81
2024-06-23,22,82
2024-06-30,23,84
2024-07-07,20,85
2024-07-14,31,85
2024-07-21,49,87
2024-07-28,28,83
2024-08-04,29,84
2024-08-11,25,86
2024-08-18,25,84
2024-08-25,25,86
2024-09-01,22,74
2024-09-08,22,64
